Text|Date|URL
/ Emergency flashing lights. Photo credit: OnScene.TV A 34-year-old man suffered life-threatening injuries in an apparent hit-and-run in Oceanside just after midnight Saturday. Oceanside police said the man, who had been riding an e-bike, was found in the area of Oceanside Boulevard and El Camino Real and was taken to Scripps Memorial Hospital. No suspect or vehicle information was available. Anyone with information about the accident was urged to call Officer Cerda with the Oceanside Police Department's Major Accident Investigation Team at 760-435-4769.|2025-03-16|https://timesofsandiego.com/crime/2025/03/15/man-on-e-bike-left-with-major-injuries-after-suspected-hit-and-run/
The final project by Akira Toriyama, Dragon Ball Daima, concluded last month, leaving fans with nostalgic and bittersweet feelings. The acclaimed and beloved author wrote the story, designed the characters, and oversaw the production. The story takes place shortly after the Majin Buu Saga, as Goku and his friends face another major problem – they are turned into children. The culprit behind this is the new Supreme Demon King Gomah, who takes the throne after Dabura's death. Gomah has never seen people nearly as powerful as Goku and his friends and is afraid that someday they will attack the Demon World too. Videos by ComicBook.com The story continues as Goku and the others travel all the way to the other world in hopes of acquiring their dragon balls. The anime was released around the same time as the manga's 40th anniversary and captured fans' hearts with gorgeous animation, expansive world-building, and adorable character design. When the anime entered its final stretch, it included an unexpected transformation, Super Saiyan 4, which fans adore more than ever. The transformation was first introduced in Dragon Ball GT but has never been considered canon until now. While the anime has ended, it didn't answer a major question fans were looking for, with a bizarre, supposedly coded message in the episode titles. [RELATED:Dragon Ball Daima Was Great, But It Could've Been Better With One More Scene] Dragon Ball Daima Episode Titles Were Suspected of Hiding a Secret Message During the New Year's special, All Night Nippon – Dragon Ball 40th Anniversary Special, Dragon Ball Daima's Executive Producer, Akio Iyoku, discussed the series. The 20-minute program was made available on Radiko's official website. Since the original broadcast was in Japanese, @peraperayume on X (previously known as Twitter) translated and highlighted key points. Iyoku revealed that the episode titles hold a hidden meaning, which will only be unveiled after the season concludes. However, he refrained from providing further details, as it was meant to be a significant aspect of the show. Each episode title has one character highlighted in red. The idea was that these characters from all twenty episodes would have a special meaning. However, even after the anime was concluded, there was no explanation about the episode titles. Since the letters are in Japanese, it's more difficult for global fans to figure out the meaning. Even though the anime has ended, Iyoku hasn't stepped forward to explain it yet. It's possible that it contains some kind of wordplay, but we can't know for sure. Forming a coherent Japanese sentence using only those letters is nearly impossible, especially while using each one only once, but it might not strictly be meant as a written message. It's been a popular puzzle, tied to the titles' usage of each of the 20 dakuon katakana, essentially Japanese letters with two muddy accent marks. @Herms98 on X tried to solve this puzzle and came up with an answer. While it doesn't fully explain everything, the user believes it corresponds to each of the twenty episodes of Dragon Ball Daima. The finale aired right before March 1st, 2025, the first anniversary of Toriyama's passing. Hence, there is a possibility that Toei wanted to include one final tribute in the anime, using each of these unique characters once apiece. What's Next For Dragon Ball After Daima's Ending? As of now, there is no official confirmation regarding upcoming projects related to the franchise. Dragon Ball Daima's post-credit scene left room for the story to develop later on. Unexpectedly, the third eye, which granted immense power to the previous Demon Kings, wasn't a unique item, as there are two more available at a mysterious store selling strange, status-altering consumables called medi-bugs, sky seeds, etc. There was no explanation about where the eyes come from and why they grant someone that much power. Even so, the ending was wholesome, and there's no guarantee that there will be a sequel. Furthermore, Dragon Ball Super is still on indefinite hiatus, even though it released a single chapter in February 2025. The series went on hiatus in March 2024, the same month Toriyama died. Toyotaro, the author of the spin-off manga Dragon Ball Heroes: Victory Mission and the illustrator of Dragon Ball Super, will be taking the helm as he will now be working on both the story and art. However, it's still unclear when the manga will return to its usual schedule. Dragon Ball is one of the most iconic anime and manga franchises in history, so Toei and Shonen Jump won't let it end with Daima. H/T: @Herms98 on X|2025-03-16|https://comicbook.com/anime/news/dragon-ball-daima-secret-message-episodes/
Man hospitalized for burns, smoke inhalation after storage shed catches fire in San Antonio Around 2 p.m., more than 10 fire units responded to the 100 block of Willow Street after receiving reports of a structure fire. Credit: KENS 5 SAN ANTONIO — The San Antonio Fire Department said a man was hospitalized after suffering burns and smoke inhalation from a fire that destroyed a storage shed. Around 2 p.m., more than 10 fire units responded to the 100 block of Willow Street after receiving reports of a structure fire. SAFD told KENS 5 a man had to be hospitalized due to burns and smoke inhalation he suffered from the fire. Crews were able to contain the fire quickly but were still working to put out the last of the hotspots in and around the shed.|2025-03-16|https://www.kens5.com/article/news/local/public-safety/san-antonio-texas-man-hospitalized-burns-smoke-inhalation-storage-shed-catches-fire/273-b451207d-3ede-472b-ba50-92b9e6179825
Josh Allen passed for two touchdowns and rushed for two more and the visiting Buffalo Bills halted Detroit's franchise-record 11-game winning streak with a 48-42 victory over the Lions on Sunday. Allen, who has 10 total touchdowns in the last two games, passed for 362 yards and rushed for 68 yards. James Cook rushed for 105 yards and two touchdowns for the Bills (11-3). Jared Goff passed for 494 yards and matched his career high of five touchdowns for the Lions (12-2). Amon Ra St. Brown caught a touchdown while establishing career bests of 14 passes for 193 yards. The teams combined for 1,080 yards. Buffalo had 559, Detroit totaled 521. The Bills led 21-14 at halftime. Buffalo scored on its first possession, driving 73 yards. Allen then plunged in from a yard out for the touchdown. The next Bills possession began with a 28-yard pass from Allen to Cook. The 78-yard drive ended with a 4-yard run by Allen. Detroit answered with a 70-yard drive that Goff completed with a 12-yard scoring pass to Tim Patrick. The Bills made it 21-7 on Cook's 6-yard run. Detroit pulled within a touchdown again on a tackle-eligible play, as Goff connected with Dan Skipper on a 9-yard scoring pass. The Bills extended the advantage to 28-14 less than two minutes into the second half on Cook's 41-yard run. Following a St. Brown fumble in Lions territory, the Bills scored again. Allen threw a shovel pass to Khalil Shakir for a 3-yard touchdown with 3:31 left in the third quarter. The Lions answered before the quarter ended as St. Brown caught a pass from Goff near midfield and raced into the end zone on a 66-yard play. Tyler Bass kicked a 50-yard field goal in the first minute of the fourth quarter to make it 38-21. Goff's 12-yard TD pass to Jahmyr Gibbs with 12 minutes left cut Buffalo's lead to 10. A Detroit onside kick backfired as Mack Hollins returned it 37 yards to the 5. Allen tossed a scoring pass to Ray Davis on the next play. Gibbs scored on a 1-yard run with 8:02 left. Bass made a 41-yard field goal with 2:03 remaining for the 48-35 lead. Goff hit Jameson Williams from 3 yards out with 12 seconds left for the final score.|2025-03-16|https://www.921theticket.com/news/big-day-by-josh-allen-helps-bills-tame-lions/
Nikola Jokic tormented the Washington Wizards three months ago and his impressive effort didn't even result in a victory. Because his career-high 56 points ended in defeat, Jokic figures to pack plenty of motivation when the Denver Nuggets host the Wizards on Saturday night. Jokic made 22 of 39 field-goal attempts and collected 16 rebounds and eight assists but his one-man domination ended with a 122-113 setback on Dec. 7. Jokic's scoring effort was the second best in Nuggets history behind David Thompson's memorable 73-point outing on the final day of the 1977-78 season. Thompson was bidding for the scoring title but finished second because George Gervin scored 63 for the San Antonio Spurs later that day. Nothing major like that was at stake but lowly Washington was thrilled with the outcome. Jordan Poole made a career-best nine 3-pointers and scored 39 points in the contest as the Wizards snapped a six-game skid in the series. Nuggets coach Michael Malone hasn't forgotten what happened in D.C. They already beat us, Malone said after Friday's victory over the Los Angeles Lakers. Even if we won by 40 or lost by 40, Washington already beat us. If there's any, 'Oh, we got these guys,' – that's what we thought last time and they beat us. When you're playing against a team that has already beaten you, that should be all the attention you need going into the game, in my opinion. Washington rested Friday night in Denver while the Nuggets (43-24) were fighting off the Lakers for a 131-126 home victory. The score was tied at 126 when Jamal Murray buried a 3-pointer with 5.6 seconds left. Murray had 26 points. Jokic scored 28 points and Christian Braun added 22. Malone was displeased with the contest against a shorthanded Los Angeles team missing LeBron James and Luka Doncic, among others. This isn't a beauty pageant, Malone said. We don't get rated on our wins. It's a win. One thing that bothered Malone was that Jokic and Murray only took 16 shots apiece. I got to get those two guys 20 to 25 shots per game, easy, Malone said. That's no disrespect to anybody else. We need those guys to carry the offensive load. Saturday's contest will be Denver's fifth in seven nights. League-worst Washington (14-51) has played well lately by going 5-4 over its last nine games. The Wizards split a two-game series in Detroit, taking the latter one 129-125 on Thursday. Washington outscored the Pistons 33-24 in the final quarter. Guys just stepped up, Washington coach Brian Keefe said. Everybody was supporting each other. Whoever is out there, got it done. … Guys stepped up when their opportunity was there. It's great. Seven Wizards scored between 14 and 19 points in a truly balanced effort. Alex Sarr had team highs of 19 points and four blocked shots and he also scored the go-ahead dunk with 53.6 seconds to play. Poole and Justin Champagnie scored 17 points apiece and Khris Middleton and Bub Carrington each added 16. Marcus Smart had 15 points and Corey Kispert added 14. Carrington said Tuesday's 123-103 loss to the Pistons was a motivating factor. It's a mix of discipline and individual pride, Carrington said. We knew we had to keep our intensity.|2025-03-16|https://www.921theticket.com/news/nikola-jokic-nuggets-have-motivation-against-lowly-wizards/
NICKOLAS BIDOLI Altoona native Chief Warrant Officer 5 Nickolas Bidoli has retired from the U.S. Army after 28 years of distinguished service beginning on July 9, 1996. Throughout his career, Bidoli served with the 1st, 2nd, 3rd and 4th Infantry Divisions, Special Operations Command-Central and the U.S. Army Special Operations Command. He completed 11 combat deployments to Iraq, Afghanistan, Yemen and other regions, earning numerous commendations, including Legion of Merit (two awards), Bronze Star Medal (two awards), Defense Meritorious Service Medal, Meritorious Service Medal, among others. He also earned prestigious badges, including the Pathfinder, Airborne, Air Assault and Combat Action badges. While serving, Bidoli achieved significant academic milestones, completing two master's degrees and earning his Ph.D. He is a 1996 graduate of Altoona Area High School. Bidoli's military journey was shared with his wife, Sandra, and their children, Anthony and Addison. His mother, Peggy Bailor, and sister, Heather, live in Altoona. Articles and photos about recent achievements for local service men and women can be mailed to Service Notes, P.O. Box 2008, Altoona, PA 16603, or emailed to community@altoonamirror.com. For more information, call Brenda Carberry, community news coordinator, at 946-7459.|2025-03-16|https://www.altoonamirror.com/life/community/2025/03/service-notes-82/
Measles outbreaks in West Texas and New Mexico are now up to nearly 300 cases, and two unvaccinated people have died from measles-related causes. Measles is caused by a highly contagious virus that's airborne and spreads easily when an infected person breathes, sneezes or coughs. It is preventable through vaccines, and has been considered eliminated from the U.S. since 2000. As of Friday, the U.S. Centers for Disease Control and Prevention said its count of confirmed measles cases in the U.S. surpassed 2024. Here's what else you need to know about measles in the U.S. How many measles cases are there in Texas and New Mexico? Texas state health officials said Friday there were 36 new cases of measles since Tuesday, bringing Texas' total to 259. Five more people were hospitalized, for a total of 34. The outbreak has spread to two new counties: Cochran in West Texas with six and Lamar in the northeast part of the state with four. New Mexico health officials announced two new cases Friday, bringing the state's total to 35. Most of the cases are in Lea County, where two people are hospitalized. Eddy County has two cases. Oklahoma's state health department reported two probable cases of measles Tuesday, saying they are associated with the West Texas and New Mexico outbreaks. A school-age child died of measles in Texas last month, and New Mexico reported its first measles-related death in an adult last week. Where else is measles showing up in the U.S.? Measles cases have been reported in Alaska, California, Florida, Georgia, Kansas, Kentucky, Maryland, Michigan, New Jersey, New York, Pennsylvania, Rhode Island, Vermont and Washington. The U.S. Centers for Disease Control and Prevention defines an outbreak as three or more related cases - and there have been three clusters that qualified as outbreaks in 2025. In the U.S., cases and outbreaks are generally traced to someone who caught the disease abroad. It can then spread, especially in communities with low vaccination rates. In 2019, the U.S. saw 1,274 cases and almost lost its status of having eliminated measles. Do you need an MMR booster? The best way to avoid measles is to get the measles, mumps and rubella (MMR) vaccine. The first shot is recommended for children between 12 and 15 months old and the second between 4 and 6 years old. People at high risk for infection who got the shots many years ago may want to consider getting a booster if they live in an area with an outbreak, said Scott Weaver with the Global Virus Network, an international coalition. Those may include family members living with someone who has measles or those especially vulnerable to respiratory diseases because of underlying medical conditions. Adults with presumptive evidence of immunity generally don't need measles shots now, the CDC said. Criteria include written documentation of adequate vaccination earlier in life, lab confirmation of past infection or being born before 1957, when most people were likely to be infected naturally. A doctor can order a lab test called an MMR titer to check your levels of measles antibodies, but health experts don't always recommend this route and insurance coverage can vary. Getting another MMR shot is harmless if there are concerns about waning immunity, the CDC says. People who have documentation of receiving a live measles vaccine in the 1960s don't need to be revaccinated, but people who were immunized before 1968 with an ineffective measles vaccine made from killed virus should be revaccinated with at least one dose, the agency said. That also includes people who don't know which type they got. What are the symptoms of measles? Measles first infects the respiratory tract, then spreads throughout the body, causing a high fever, runny nose, cough, red, watery eyes and a rash. The rash generally appears three to five days after the first symptoms, beginning as flat red spots on the face and then spreading downward to the neck, trunk, arms, legs and feet. When the rash appears, the fever may spike over 104 degrees Fahrenheit, according to the CDC. Most kids will recover from measles, but infection can lead to dangerous complications such as pneumonia, blindness, brain swelling and death. How can you treat measles? There's no specific treatment for measles, so doctors generally try to alleviate symptoms, prevent complications and keep patients comfortable. Why do vaccination rates matter? In communities with high vaccination rates - above 95% - diseases like measles have a harder time spreading through communities. This is called herd immunity. But childhood vaccination rates have declined nationwide since the pandemic and more parents are claiming religious or personal conscience waivers to exempt their kids from required shots. The U.S. saw a rise in measles cases in 2024, including an outbreak in Chicago that sickened more than 60.|2025-03-16|https://abc7chicago.com/post/measles-cases-reach-300-total-texas-new-mexico-heres-what-should-know/16028995/
ROME/ISTANBUL Italy will work to define effective security guarantees for Ukraine, but its participation in a possible military force deployed in the country is not planned, Prime Minister Giorgia Meloni's office said in a statement on Saturday. Meloni participated in a video conference meeting organized by British Prime Minister Keir Starmer to discuss commitments for a just and lasting peace that can ensure the future sovereignty and security of Ukraine. Meloni confirmed that Italy intends to continue working with European and Western partners and the United States to define credible and effective security guarantees, reaffirming however that Italy's participation in a possible military force on the ground is not planned, the readout said. Starmer said allies were stepping up preparations to support Ukraine in the event of a peace deal with Russia. Anadolu Agency website contains only a portion of the news stories offered to subscribers in the AA News Broadcasting System (HAS), and in summarized form. Please contact us for subscription options.|2025-03-16|https://www.aa.com.tr/en/europe/italian-prime-minister-rules-out-military-deployment-in-ukraine/3510598
Got a security roll-out plan for the next few years? Escalate it. Thinking about recruiting more security engineers? Start hiring. Looking for the right time to patch vulnerabilities and refresh passwords? Now's the time. The Ukraine conflict may feel far away to some of you, but the risk of your network being caught in the crossfire is increasing. Ukraine's relationship with NATO News reports say that a shooting war is beginning on the Russia/Ukraine border. To understand how this conflict may escalate outside the Baltic region, it's important to understand Ukraine's relationship with NATO. NATO member states have a series of obligations they have agreed upon, most notably a mutual protection pact. Ukraine, while not a NATO member, is considered a NATO partner. The NATO document, Relations with Ukraine, provides important insights into how NATO will interpret hostilities towards Ukraine: NATO has adopted a firm position in full support of Ukraine's sovereignty and territorial integrity within its internationally recognised borders. Right now, that full support doesn't include sending troops up against Russian forces. In fact, NATO's position is more denunciation than outright hostility. The members state, The Allies strongly condemn and will not recognise Russia's illegal and illegitimate annexation of Crimea, and denounce its temporary occupation. Fundamentally, the NATO allies can't ignore Russia's actions. And while nobody wants World War III, NATO likely isn't going to sit this thing out. Enter cyberwar. Russia and cyberwar Russia's hacking activities have been making news for years: While not all these activities can be traced directly back to government operatives, there's almost always a government link somewhere in the chain. Next, let's look at how much the global IT industry has accepted Russian companies as full partners. At the top of the list is Kaspersky. Statista lists Kaspersky as the fourth largest (in terms of market share) anti-malware vendor for Windows machines. Kaspersky has long been fighting allegations of being cozy with the Russian government but there is a case for why the connection is under scrutiny. If Russia wanted to attack the west, it's got a ready-made channel to do so: the anti-malware software designed to defend against just that risk. Keep in mind that Russian developers have built a lot of the code we incorporate into our projects. Normally, that wouldn't cause any more worry than working with any other developer. But if Russia suddenly takes an adversarial position with NATO allies, the Russian coders we've been working with may suddenly turn into enemy combatants. In 2020, Russia's IT outsourcing market hit $6.75 billion, according to a report from IDC in ComputerWeekly. Outsourcing is the process of assigning IT operations to other organizations, so the client company doesn't have to do the work. Unfortunately, outsourcing also assigns control of IT operations to the vendor organization. If Russia turns into an adversarial actor, the control ceded by western companies to Russian outsourcing operations may well be the equivalent of giving all their passwords and authentication codes to the Russian government. So let's sum up the risk: In general, working with our fellow IT professionals in Russia can be a productive and positive experience. But if they suddenly turn to the dark side of the force due to this war, western IT security could be badly exposed. Prepare your networks Russia already has a history of attacking and breaching western companies and networks, and even tampering with elections. How bad will it get if there's a shooting war between Russia and Ukraine and a rhetoric war between NATO and Russia? Most likely, both sides -- who don't want to chance a nuclear conflagration -- will lob soft attacks at each other. We can expect propaganda attacks through social media, designed to give western populations a false view of the issues of the day. According to the FBI, Russian misinformation has been an ongoing problem. And then there's cyberwar. Expect both sides to launch attacks against each other. Cyberattacks have some degree of plausible deniability, they're sometimes hard to trace, it's difficult to point to rubble and bodies on the news, but the damage they do is still considerable. If the situation on the Russia/Ukraine border escalates, expect Russia to launch cyberattacks. They won't necessarily be visible attacks, either. Distributed denial of service attacks are messy, but they're like active sonar -- you can tell when you've been pinged. Advanced persistent threats, on the other hand, are stealthy. They dig into your networks and camp out. Sometimes they exfiltrate information. Sometimes they modify information. Sometimes, they break things. APTs have been known to enter a network and live there for months and even years. These attacks aren't just going to be limited to government networks. They'll target networks all across NATO economies, possibly even yours. When that attack hits, you're suddenly in the line of fire. If you're one of the many IT pros who read ZDNet, mitigating that attack is your responsibility. And that's why, due to a war halfway around the globe, there's a chance your network will be a target. Stay vigilant If you outsource to a Russian IT vendor or use Russian-based security software, it might be time to evaluate your potential risk level. We can't automatically assume that Russian vendors will give up their market advantage to support a war, but you'll need to watch those relationships with great care. If your vendors suddenly seem to change attitude or personality, pay attention. And make sure you have a failover plan in place with alternative vendors. I know you have other priorities. We always do. But here's the thing. Any network manager stands a good chance of being in the line of fire for a cyberwar with Russia. If this thing goes long or escalates, it will no longer be a matter of if, but when.|2025-03-16|https://www.zdnet.com/article/how-to-avoid-being-unwillingly-drafted-as-a-cyber-combatant-in-the-russia-ukraine-war/
wilhelm and theresia van astrea kissing It's time for the conclusion to the confrontation between Wilhelm and Theresia van Astrea. Can Wilhelm finally bring the previous Sword Saint peace? 31 minutes ago rengoku giyomai giyu hashira abilities demon slayer While Sun Breathing is the first Breathing Style in Demon Slayer, it created five other styles that became the basis for all others among the slayers 4 days ago shin majin kuu and duu There's no doubt that Goku left the Demon Realm a better place than it was when Dragon Ball Daima started. But what exactly are all the changes made? 4 days ago kashima and his lieutenants Sakamoto Days' Lab Arc explores Shin the Clairvoyant's mysterious past. Who exactly is Shin, and where did his powers come from? 6 days ago sakamoto on roller coaster Sakamoto Days' very first story arc is known as the Amusement Park Arc. Meet the Sakamoto Family and join them in their not-so-normal daily lives. Mar 7, 2025 dragon ball daima goku-1 Dragon Ball Daima is over, but the confusion is not. The series has left fans with many questions, as parts of it seem to contradict Super. Mar 6, 2025 members of the order Even though it seems like every assassin in the country is after Sakamoto in Sakamoto Days, the Order isn't. But why is that? Mar 5, 2025 Dragon Ball God of Destruction The Gods of Destruction are the second most powerful beings in their respective universes in Dragon Ball Super. But which one is the strongest? Mar 5, 2025 Goku, Panzy, Glorio, Shin, and Bulma shocked about the Evil Third Eyes in the Dragon Ball DAIMA Finale Now that Akira Toriyama's final send-off to the Dragon Ball franchise is over, what's next? Will Daima continue or will Super take over from here on? Mar 3, 2025 third eye gomah Now that the fight against Third Eye Gomah in Dragon Ball Daima is over, it's time to compare him to the other powerful characters in the series. Mar 2, 2025 Saiyans Dragon Ball Franchise The Saiyans of Dragon Ball are among the strongest warriors there were until they were almost wiped out by Frieza. How did the remaining few survive? Mar 1, 2025 mad regulus corneas Now that Sirius has been dealt with, it's time to go back to Subaru and Emilia's battle against Regulus in Re:Zero. Will the Little King fall? Mar 1, 2025 Demon Realm Porunga being summoned in Dragon Ball DAIMA Episode 18 The Eternal Dragon hiding within the Demon Realm's Dragon Balls has finally been summoned in Daima, and it looks just like Porunga? Feb 27, 2025 liliana masquerade Sirius seemed to trigger something within Priscilla in the last episode of Re:Zero. Will hatred cloud her judgment or will she overcome it? Feb 25, 2025 Super Saiyan 4 Goku in Dragon Ball DAIMA Super Saiyan 4 is finally canon thanks to Dragon Ball Daima! But how does it compare to Dragon Ball GT's version of the transformation? Feb 23, 2025 the kamado family Tanjiro, and by extension, the rest of the Kamado family in Demon Slayer would Muzan's undoing. Just what gifts do the Kamados possess? Feb 18, 2025 How Much Of The Manga Will Demon Slayer Season 4 Adapt featured image Some of Demon Slayer's story arcs have both a film release and an episodic anime release. Which should you watch? Feb 17, 2025 Demon Slayer Tamayo muzan drug Every demon in Demon Slayer has a unique ability known as a Blood Demon Art. So, how does Muzan Kibutsuji's Blood Demon Art work? Feb 16, 2025 subaru and emilia vs greed The fight to take back the Watergate City of Priestella in Re:Zero wages on. How will Subaru, Emilia, and Reinhard find Regulus' weakness? Feb 15, 2025|2025-03-16|https://gamerant.com/author/adrian-mark-s-pilanga/
